batting_position,player_name,Out/Not Out,runs,balls,fours,sixes,strikeRate,match_id,match,team
1,Sahibzada Farhan,1,57,36,8,1,158.33,m_01,Lahore Qalanders vs Islamabad United,Lahore Qalanders
3,Rassie van der Dussen,0,71,41,4,3,173.17,m_01,Lahore Qalanders vs Islamabad United,Lahore Qalanders
4,Abdullah Shafique,1,28,22,0,3,127.27,m_01,Lahore Qalanders vs Islamabad United,Lahore Qalanders
5,David Wiese,1,14,8,1,1,175,m_01,Lahore Qalanders vs Islamabad United,Lahore Qalanders
6,Shaheen Shah Afridi ,1,0,1,0,0,0,m_01,Lahore Qalanders vs Islamabad United,Lahore Qalanders
1,Colin Munro,1,5,11,1,0,45.45,m_01,Lahore Qalanders vs Islamabad United,Islamabad United
2,Alex Hales,1,36,28,5,1,128.57,m_01,Lahore Qalanders vs Islamabad United,Islamabad United
3,Shadab Khan ,0,74,41,6,5,180.49,m_01,Lahore Qalanders vs Islamabad United,Islamabad United
4,Salman Ali Agha,0,64,31,7,3,206.45,m_01,Lahore Qalanders vs Islamabad United,Islamabad United
1,Jason Roy,1,75,48,9,2,156.25,m_02,Quetta Gladiators vs Peshawar Zalmi,Quetta Gladiators
2,Saud Shakeel,1,74,47,6,4,157.45,m_02,Quetta Gladiators vs Peshawar Zalmi,Quetta Gladiators
3,Rilee Rossouw ,1,14,7,1,1,200,m_02,Quetta Gladiators vs Peshawar Zalmi,Quetta Gladiators
4,Sherfane Rutherford,1,20,13,3,0,153.85,m_02,Quetta Gladiators vs Peshawar Zalmi,Quetta Gladiators
5,Khawaja Mohammad Nafay,0,6,3,1,0,200,m_02,Quetta Gladiators vs Peshawar Zalmi,Quetta Gladiators
6,Mohammad Wasim Jnr,1,4,2,1,0,200,m_02,Quetta Gladiators vs Peshawar Zalmi,Quetta Gladiators
7,Sarfaraz Ahmed †,0,0,1,0,0,0,m_02,Quetta Gladiators vs Peshawar Zalmi,Quetta Gladiators
1,Saim Ayub,1,42,26,2,3,161.54,m_02,Quetta Gladiators vs Peshawar Zalmi,Peshawar Zalmi
2,Babar Azam ,1,68,42,4,4,161.9,m_02,Quetta Gladiators vs Peshawar Zalmi,Peshawar Zalmi
3,Mohammad Haris †,1,7,6,1,0,116.67,m_02,Quetta Gladiators vs Peshawar Zalmi,Peshawar Zalmi
4,Tom Kohler-Cadmore,1,18,18,0,1,100,m_02,Quetta Gladiators vs Peshawar Zalmi,Peshawar Zalmi
5,Rovman Powell,1,17,9,1,1,188.89,m_02,Quetta Gladiators vs Peshawar Zalmi,Peshawar Zalmi
6,Daniel Mousley,1,11,12,0,1,91.67,m_02,Quetta Gladiators vs Peshawar Zalmi,Peshawar Zalmi
7,Asif Ali,0,2,3,0,0,66.67,m_02,Quetta Gladiators vs Peshawar Zalmi,Peshawar Zalmi
8,Aamir Jamal,0,7,4,1,0,175,m_02,Quetta Gladiators vs Peshawar Zalmi,Peshawar Zalmi
1,Shan Masood ,1,30,31,4,1,96.77,m_03,Multan Sultans vs Karachi Kings,Multan Sultans
2,James Vince,1,5,4,1,0,125,m_03,Multan Sultans vs Karachi Kings,Multan Sultans
3,Saad Baig †,1,0,1,0,0,0,m_03,Multan Sultans vs Karachi Kings,Multan Sultans
4,Shoaib Malik,1,53,35,5,2,151.43,m_03,Multan Sultans vs Karachi Kings,Multan Sultans
5,Mohammad Nawaz,1,7,10,0,0,70,m_03,Multan Sultans vs Karachi Kings,Multan Sultans
6,Kieron Pollard,0,28,29,4,1,96.55,m_03,Multan Sultans vs Karachi Kings,Multan Sultans
7,Daniel Sams,1,0,4,0,0,0,m_03,Multan Sultans vs Karachi Kings,Multan Sultans
8,Hasan Ali,1,0,2,0,0,0,m_03,Multan Sultans vs Karachi Kings,Multan Sultans
9,Mir Hamza,1,0,3,0,0,0,m_03,Multan Sultans vs Karachi Kings,Multan Sultans
10,Tabraiz Shamsi,0,0,1,0,0,0,m_03,Multan Sultans vs Karachi Kings,Multan Sultans
1,Mohammad Rizwan ,1,11,12,2,0,91.67,m_03,Multan Sultans vs Karachi Kings,Karachi Kings
2,Dawid Malan,1,52,41,4,1,126.83,m_03,Multan Sultans vs Karachi Kings,Karachi Kings
3,Reeza Hendricks,0,79,54,7,3,146.3,m_03,Multan Sultans vs Karachi Kings,Karachi Kings
4,Khushdil Shah,0,28,13,4,0,215.38,m_03,Multan Sultans vs Karachi Kings,Karachi Kings
1,Sahibzada Farhan †,1,62,43,6,3,144.19,m_04,Lahore Qalanders vs Quetta Gladiators,Lahore Qalanders
2,Fakhar Zaman,1,6,9,0,0,66.67,m_04,Lahore Qalanders vs Quetta Gladiators,Lahore Qalanders
3,Rassie van der Dussen,1,15,16,2,0,93.75,m_04,Lahore Qalanders vs Quetta Gladiators,Lahore Qalanders
4,Abdullah Shafique,1,11,10,0,1,110,m_04,Lahore Qalanders vs Quetta Gladiators,Lahore Qalanders
5,Jahandad Khan,0,45,17,3,4,264.71,m_04,Lahore Qalanders vs Quetta Gladiators,Lahore Qalanders
6,Sikandar Raza,1,18,12,1,1,150,m_04,Lahore Qalanders vs Quetta Gladiators,Lahore Qalanders
7,Carlos Brathwaite,1,6,3,1,0,200,m_04,Lahore Qalanders vs Quetta Gladiators,Lahore Qalanders
8,Shaheen Shah Afridi ,1,12,8,1,1,150,m_04,Lahore Qalanders vs Quetta Gladiators,Lahore Qalanders
9,Salman Fayyaz,0,2,2,0,0,100,m_04,Lahore Qalanders vs Quetta Gladiators,Lahore Qalanders
1,Jason Roy,1,24,19,4,0,126.32,m_04,Lahore Qalanders vs Quetta Gladiators,Quetta Gladiators
2,Saud Shakeel,1,40,23,7,1,173.91,m_04,Lahore Qalanders vs Quetta Gladiators,Quetta Gladiators
3,Khawaja Mohammad Nafay,0,60,31,4,3,193.55,m_04,Lahore Qalanders vs Quetta Gladiators,Quetta Gladiators
4,Rilee Rossouw ,1,18,13,3,0,138.46,m_04,Lahore Qalanders vs Quetta Gladiators,Quetta Gladiators
5,Sarfaraz Ahmed †,1,11,8,1,0,137.5,m_04,Lahore Qalanders vs Quetta Gladiators,Quetta Gladiators
6,Sherfane Rutherford,1,14,12,1,0,116.67,m_04,Lahore Qalanders vs Quetta Gladiators,Quetta Gladiators
7,Akeal Hosein,0,9,9,0,0,100,m_04,Lahore Qalanders vs Quetta Gladiators,Quetta Gladiators
1,Colin Munro,1,8,13,1,0,61.54,m_05,Multan Sultans vs Islamabad United,Islamabad United
2,Alex Hales,1,2,8,0,0,25,m_05,Multan Sultans vs Islamabad United,Islamabad United
3,Salman Ali Agha,1,52,43,3,2,120.93,m_05,Multan Sultans vs Islamabad United,Islamabad United
4,Jordan Cox,1,41,28,2,2,146.43,m_05,Multan Sultans vs Islamabad United,Islamabad United
5,Azam Khan †,1,13,10,1,1,130,m_05,Multan Sultans vs Islamabad United,Islamabad United
6,Imad Wasim,1,0,3,0,0,0,m_05,Multan Sultans vs Islamabad United,Islamabad United
7,Shadab Khan ,1,11,9,1,0,122.22,m_05,Multan Sultans vs Islamabad United,Islamabad United
8,Faheem Ashraf,1,1,2,0,0,50,m_05,Multan Sultans vs Islamabad United,Islamabad United
9,Naseem Shah,1,2,4,0,0,50,m_05,Multan Sultans vs Islamabad United,Islamabad United
10,Ubaid Shah,1,0,2,0,0,0,m_05,Multan Sultans vs Islamabad United,Islamabad United
11,Tymal Mills,0,0,1,0,0,0,m_05,Multan Sultans vs Islamabad United,Islamabad United
1,Mohammad Rizwan ,1,43,33,6,2,130.3,m_05,Multan Sultans vs Islamabad United,Multan Sultans
2,Dawid Malan,1,0,2,0,0,0,m_05,Multan Sultans vs Islamabad United,Multan Sultans
3,Reeza Hendricks,1,58,46,6,1,126.09,m_05,Multan Sultans vs Islamabad United,Multan Sultans
4,Yasir Khan,1,8,11,0,0,72.73,m_05,Multan Sultans vs Islamabad United,Multan Sultans
5,Iftikhar Ahmed,0,18,17,0,1,105.88,m_05,Multan Sultans vs Islamabad United,Multan Sultans
6,Khushdil Shah,1,3,4,0,0,75,m_05,Multan Sultans vs Islamabad United,Multan Sultans
7,David Willey,0,7,6,1,0,116.67,m_05,Multan Sultans vs Islamabad United,Multan Sultans
1,Saim Ayub,1,0,1,0,0,0,m_06,Peshawar Zalmi vs Karachi Kings,Peshawar Zalmi
2,Babar Azam ,1,72,51,7,1,141.18,m_06,Peshawar Zalmi vs Karachi Kings,Peshawar Zalmi
3,Mohammad Haris †,1,6,7,1,0,85.71,m_06,Peshawar Zalmi vs Karachi Kings,Peshawar Zalmi
4,Tom Kohler-Cadmore,1,2,3,0,0,66.67,m_06,Peshawar Zalmi vs Karachi Kings,Peshawar Zalmi
5,Rovman Powell,1,39,25,3,2,156,m_06,Peshawar Zalmi vs Karachi Kings,Peshawar Zalmi
6,Asif Ali,1,23,16,1,1,143.75,m_06,Peshawar Zalmi vs Karachi Kings,Peshawar Zalmi
7,Aamir Jamal,1,1,4,0,0,25,m_06,Peshawar Zalmi vs Karachi Kings,Peshawar Zalmi
8,Luke Wood,1,8,6,0,1,133.33,m_06,Peshawar Zalmi vs Karachi Kings,Peshawar Zalmi
9,Mohammad Zeeshan,1,0,1,0,0,0,m_06,Peshawar Zalmi vs Karachi Kings,Peshawar Zalmi
10,Salman Irshad,0,0,3,0,0,0,m_06,Peshawar Zalmi vs Karachi Kings,Peshawar Zalmi
11,Waqar Salamkheil,1,0,2,0,0,0,m_06,Peshawar Zalmi vs Karachi Kings,Peshawar Zalmi
1,Shan Masood ,1,12,10,2,0,120,m_06,Peshawar Zalmi vs Karachi Kings,Karachi Kings
2,Muhammad Akhlaq †,1,24,13,3,2,184.62,m_06,Peshawar Zalmi vs Karachi Kings,Karachi Kings
3,James Vince,0,38,30,3,1,126.67,m_06,Peshawar Zalmi vs Karachi Kings,Karachi Kings
4,Shoaib Malik,1,29,29,1,1,100,m_06,Peshawar Zalmi vs Karachi Kings,Karachi Kings
5,Kieron Pollard,0,49,21,4,4,233.33,m_06,Peshawar Zalmi vs Karachi Kings,Karachi Kings
1,Mohammad Rizwan ,1,82,59,9,3,138.98,m_07,Multan Sultans vs Lahore Qalanders,Multan Sultans
2,Dawid Malan,1,0,1,0,0,0,m_07,Multan Sultans vs Lahore Qalanders,Multan Sultans
3,Reeza Hendricks,1,9,7,2,0,128.57,m_07,Multan Sultans vs Lahore Qalanders,Multan Sultans
4,Yasir Khan,1,8,13,1,0,61.54,m_07,Multan Sultans vs Lahore Qalanders,Multan Sultans
5,David Willey,1,25,23,1,1,108.7,m_07,Multan Sultans vs Lahore Qalanders,Multan Sultans
6,Iftikhar Ahmed,0,34,11,5,2,309.09,m_07,Multan Sultans vs Lahore Qalanders,Multan Sultans
7,Khushdil Shah,0,0,0,0,0,,m_07,Multan Sultans vs Lahore Qalanders,Multan Sultans
1,Sahibzada Farhan †,1,2,8,0,0,25,m_07,Multan Sultans vs Lahore Qalanders,Lahore Qalanders
2,Fakhar Zaman,1,41,36,2,2,113.89,m_07,Multan Sultans vs Lahore Qalanders,Lahore Qalanders
3,Rassie van der Dussen,1,54,37,4,2,145.95,m_07,Multan Sultans vs Lahore Qalanders,Lahore Qalanders
4,Sikandar Raza,1,23,16,4,0,143.75,m_07,Multan Sultans vs Lahore Qalanders,Lahore Qalanders
5,Jahandad Khan,1,16,9,0,1,177.78,m_07,Multan Sultans vs Lahore Qalanders,Lahore Qalanders
6,Abdullah Shafique,0,6,7,0,0,85.71,m_07,Multan Sultans vs Lahore Qalanders,Lahore Qalanders
7,Carlos Brathwaite,0,15,8,1,1,187.5,m_07,Multan Sultans vs Lahore Qalanders,Lahore Qalanders
