match,team,match_id,bowlerName,overs.1,overs.2,maiden,runs,wickets,wides,noballs,economy,balls,innings
Lahore Qalandars vs Islamabad United,Islamabad United,m_01,Naseem Shah,4,0,0,36,1,2,1,9,24,1
Lahore Qalandars vs Islamabad United,Islamabad United,m_01,Ubaid Shah,1,0,0,15,0,0,0,15,6,1
Lahore Qalandars vs Islamabad United,Islamabad United,m_01,Faheem Ashraf,3,0,0,40,0,0,0,13.33,18,1
Lahore Qalandars vs Islamabad United,Islamabad United,m_01,Imad Wasim,4,0,0,33,0,2,0,8.25,24,1
Lahore Qalandars vs Islamabad United,Islamabad United,m_01,Shadab Khan *,4,0,0,24,1,1,0,6,24,1
Lahore Qalandars vs Islamabad United,Islamabad United,m_01,Tymal Mills,4,0,0,45,2,0,0,11.25,24,1
Lahore Qalandars vs Islamabad United,Lahore Qalandars,m_01,Shaheen Shah Afridi *,4,0,0,31,0,3,0,7.75,24,1
Lahore Qalandars vs Islamabad United,Lahore Qalandars,m_01,Zaman Khan,3,0,1,33,1,2,0,11,18,1
Lahore Qalandars vs Islamabad United,Lahore Qalandars,m_01,Jahandad Khan,4,0,0,39,0,2,1,9.75,24,1
Lahore Qalandars vs Islamabad United,Lahore Qalandars,m_01,Haris Rauf,3,0,0,38,0,0,0,12.67,18,1
Lahore Qalandars vs Islamabad United,Lahore Qalandars,m_01,Salman Fayyaz,2,2,0,23,1,0,0,10.45,14,1
Lahore Qalandars vs Islamabad United,Lahore Qalandars,m_01,David Wiese,2,0,0,24,0,0,0,12,12,1
Peshawar Zalmi vs Quetta Gladiators,Peshawar Zalmi,m_02,Luke Wood,4,0,0,39,1,0,1,9.75,24,1
Peshawar Zalmi vs Quetta Gladiators,Peshawar Zalmi,m_02,Mohammad Zeeshan,4,0,0,38,1,1,0,9.5,24,1
Peshawar Zalmi vs Quetta Gladiators,Peshawar Zalmi,m_02,Aamir Jamal,2,0,0,29,0,4,0,14.5,12,1
Peshawar Zalmi vs Quetta Gladiators,Peshawar Zalmi,m_02,Salman Irshad,4,0,0,38,3,1,0,9.5,24,1
Peshawar Zalmi vs Quetta Gladiators,Peshawar Zalmi,m_02,Daniel Mousley,3,0,0,22,0,0,0,7.33,18,1
Peshawar Zalmi vs Quetta Gladiators,Peshawar Zalmi,m_02,Saim Ayub,3,0,0,34,0,0,0,11.33,18,1
Peshawar Zalmi vs Quetta Gladiators,Quetta Gladiators,m_02,Mohammad Amir,4,0,1,29,1,2,0,7.25,24,1
Peshawar Zalmi vs Quetta Gladiators,Quetta Gladiators,m_02,Akeal Hosein,4,0,0,38,1,2,0,9.5,24,1
Peshawar Zalmi vs Quetta Gladiators,Quetta Gladiators,m_02,Mohammad Hasnain,4,0,0,41,0,1,0,10.25,24,1
