name,playerRole,bowlingstyle,team,battingStyle
Aamer Jamal,Left hand Bat,,PZ,Right hand Bat
Abbas Afridi,Left hand Bat,,MS,Right hand Bat
Abdullah Shafique,Top order Batter,Right arm Offbreak,LQ,Right hand Bat
Abrar Ahmed,Bowler,Legbreak Googly,QG,Right hand Bat
Adil Naz,,,QG,Right hand Bat
Aftab Ibrahim,Right hand Bat,,MS,Right hand Bat
Agha Salman,Allrounder,Right arm Offbreak,IU,Right hand Bat
Ahsan Bhatti,,,LQ,
Aimal Khan,Left hand Bat,,PZ,Right hand Bat
Akeal Hosein,Bowler,Slow Left arm Orthodox,QG,Left hand Bat
Alex Hales,Opening Batter,Right arm Medium,IU,Right hand Bat
Anwar Ali,Bowler,Right arm Medium fast,KK,Right hand Bat
Arafat Minhas,Bowler,Slow Left arm Orthodox,KK,Left hand Bat
Arif Yaqoob,Right hand Bat,,PZ,Right hand Bat
Asif Ali,Right hand Bat,,PZ,Right hand Bat
Azam Khan,Wicketkeeper Batter,,IU,Right hand Bat
Babar Azam,Left hand Bat,,PZ,Right hand Bat
Bismillah Khan,Wicketkeeper Batter,,QG,Right hand Bat
Chris Jordan,Right hand Bat,,MS,Right hand Bat
Colin Munro,Opening Batter,Right arm Medium fast,IU,Left hand Bat
Dan Lawrence,Middle order Batter,Right arm Offbreak,LQ,Right hand Bat
Dan Mousley,Left hand Bat,,PZ,Left hand Bat
Daniel Sams,Allrounder,Left arm Fast medium,KK,Right hand Bat
David Wiese,Allrounder,Right arm Medium fast,LQ,Right hand Bat
David Willey,Right hand Bat,,MS,Left hand Bat
Dawid Malan,Right hand Bat,,MS,Left hand Bat
Faheem Ashraf,Bowling Allrounder,Right arm Medium,IU,Left hand Bat
Faisal Akram,Right hand Bat,,MS,Left hand Bat
Fakhar Zaman,Opening Batter,Slow Left arm Orthodox,LQ,Left hand Bat
Fawad Ali,Bowling Allrounder,Right arm Medium fast,KK,Right hand Bat
George Linde,Allrounder,Slow Left arm Orthodox,LQ,Left hand Bat
Haris Rauf,Bowler,Right arm Fast,LQ,Right hand Bat
Hasan Ali,Bowler,Right arm Medium fast,KK,Right hand Bat
Haseebullah Khan,Right hand Bat,,PZ,Left hand Bat
Hunain Shah,Bowler,Right arm Medium,IU,Right hand Bat
Iftikhar Ahmed,Left hand Bat,,MS,Right hand Bat
Ihsanullah,Right hand Bat,,MS,Right hand Bat
Imad Wasim,Allrounder,Slow Left arm Orthodox,IU,Left hand Bat
Irfan Khan,Middle order Batter,Right arm Medium fast,KK,Right hand Bat
Jahandad Khan,Allrounder,Left arm Medium fast,LQ,Left hand Bat
James Vince,Batter,Right arm Medium,KK,Right hand Bat
Jamie Overton,Bowling Allrounder,Right arm Fast,KK,Right hand Bat
Jason Roy,Opening Batter,,QG,Right hand Bat
Johnson Charles,Right hand Bat,,MS,Right hand Bat
Jordan Cox,Wicketkeeper Batter,,IU,Right hand Bat
Kamran Ghulam,Allrounder,Slow Left arm Orthodox,LQ,Right hand Bat
Khawaja Nafay,Batter,Right arm Offbreak,QG,Right hand Bat
Khurram Shahzad,Left hand Bat,,PZ,Right hand Bat
Khushdil Shah,Left hand Bat,,MS,Left hand Bat
Kieron Pollard,Batting Allrounder,Right arm Medium,KK,Right hand Bat
Laurie Evans,Batter,Right arm Offbreak,QG,Right hand Bat
Leus du Plooy,Middle order Batter,Slow Left arm Orthodox,KK,Left hand Bat
Lorcan Tucker,Wicketkeeper Batter,,LQ,Right hand Bat
Luke Wood,Right hand Bat,,PZ,Left hand Bat
Lungi Ngidi,Right hand Bat,,PZ,Right hand Bat
Matthew Forde,Bowler,Right arm Medium,IU,Right hand Bat
Mehran Mumtaz,Right hand Bat,,PZ,Left hand Bat
Mir Hamza,Bowler,Left arm Medium,KK,Left hand Bat
Mirza Baig,Top order Batter,,LQ,Right hand Bat
Mohammad Ali,Right hand Bat,,MS,Right hand Bat
Mohammad Amir,Bowler,Left arm Fast medium,QG,Left hand Bat
Mohammad Amir Khan,Bowler,Right arm Medium,KK,Right hand Bat
Mohammad Haris,Right hand Bat,,PZ,Right hand Bat
Mohammad Hasnain,Bowler,Right arm Fast,QG,Right hand Bat
Mohammad Imran,Bowler,Left arm Medium fast,LQ,Right hand Bat
Mohammad Nawaz,Allrounder,Slow Left arm Orthodox,KK,Left hand Bat
Mohammad Rizwan,Right hand Bat,,MS,Right hand Bat
Mohammad Wasim,Bowling Allrounder,Right arm Fast medium,QG,Right hand Bat
Mohammad Zeeshan,Right hand Bat,,PZ,Right hand Bat
Muhammad Akhlaq,Wicketkeeper Batter,Right arm Medium fast,KK,Right hand Bat
Muhammad Rohid,Bowler,Left arm Medium fast,KK,Left hand Bat
Muhammad Shahzad,Right hand Bat,,MS,Right hand Bat
Muhammad Waseem,Opening Batter,Right arm Medium,IU,Right hand Bat
Naseem Shah,Bowler,Right arm Fast,IU,Right hand Bat
Naveen-ul-Haq,Right hand Bat,,PZ,Right hand Bat
Noor Ahmad,Right hand Bat,,PZ,Right hand Bat
Obed McCoy,Bowler,Left arm Fast medium,IU,Left hand Bat
Olly Stone,Right hand Bat,,MS,Right hand Bat
Omair Yousuf,Batter,,QG,Right hand Bat
Paul Walter,Right hand Bat,,PZ,Left hand Bat
Qasim Akram,Allrounder,Right arm Offbreak,IU,Right hand Bat
Rashid Khan,Bowling Allrounder,Legbreak Googly,LQ,Right hand Bat
Rassie van der Dussen,Top order Batter,Legbreak,LQ,Right hand Bat
Reece Topley,Right hand Bat,,MS,Right hand Bat
Reeza Hendricks,Right hand Bat,,MS,Right hand Bat
Rilee Rossouw,Top order Batter,Right arm Offbreak,QG,Left hand Bat
Rovman Powell,Left hand Bat,,PZ,Right hand Bat
Rumman Raees,Bowler,Left arm Medium fast,IU,Right hand Bat
Saad Baig,Right hand Bat,,KK,Left hand Bat
Sahibzada Farhan,Middle order Batter,,LQ,Right hand Bat
Saim Ayub,Right hand Bat,,PZ,Left hand Bat
Sajjad Ali,,,QG,Right hand Bat
Salman Fayyaz,Bowler,Legbreak Googly,LQ,Left hand Bat
Salman Irshad,Left hand Bat,,PZ,Right hand Bat
Sarfaraz Ahmed,Wicketkeeper Batter,Right arm Offbreak,QG,Right hand Bat
Saud Shakeel,Middle order Batter,Left arm Slow,QG,Left hand Bat
Shadab Khan,Allrounder,Legbreak,IU,Right hand Bat
Shahab Khan,,Left arm Medium,IU,Left hand Bat
Shaheen Shah Afridi,Bowler,Left arm Fast,LQ,Left hand Bat
Shahnawaz Dahani,Right hand Bat,,MS,Right hand Bat
Shai Hope,Wicketkeeper Batter,,LQ,Right hand Bat
Shamyl Hussain,,,IU,Left hand Bat
Shan Masood,Opening Batter,Right arm Medium fast,KK,Left hand Bat
Sherfane Rutherford,Middle order Batter,Right arm Fast medium,QG,Left hand Bat
Shoaib Malik,Allrounder,Right arm Offbreak,KK,Right hand Bat
Sikandar Raza,Batting Allrounder,"Right arm Offbreak, Legbreak",LQ,Right hand Bat
Sirajuddin,Bowler,Right arm Medium,KK,Right hand Bat
Sohail Khan,Bowler,Right arm Fast medium,QG,Right hand Bat
Sufiyan Muqeem,Right hand Bat,,PZ,Left hand Bat
Syed Faridoun,Bowler,Left arm Wrist spin,LQ,Right hand Bat
Tabraiz Shamsi,Bowler,Left arm Wrist spin,KK,Right hand Bat
Tayyab Abbas,Bowler,Left arm Medium fast,LQ,Left hand Bat
Tayyab Tahir,Right hand Bat,,MS,Right hand Bat
Tim Seifert,Wicketkeeper Batter,,KK,Right hand Bat
Tom Curran,Allrounder,Right arm Fast medium,IU,Right hand Bat
Tom Kohler-Cadmore,Right hand Bat,,PZ,Right hand Bat
Tymal Mills,Bowler,Left arm Fast,IU,Right hand Bat
Ubaid Shah,Bowler,Right arm Fast medium,IU,Right hand Bat
Umair Afridi,,,PZ,Left hand Bat
Umar Amin,Top order Batter,Right arm Medium,QG,Left hand Bat
Usama Mir,Right hand Bat,,MS,Right hand Bat
Usman Khan,Right hand Bat,,MS,Right hand Bat
Usman Qadir,Bowler,Legbreak,QG,Left hand Bat
Usman Tariq,,Right arm Offbreak,QG,Right hand Bat
Waqar Salamkheil,Left hand Bat,,PZ,Right hand Bat
Will Smeed,Top order Batter,Right arm Offbreak,QG,Right hand Bat
Yasir Khan,Left hand Bat,,MS,Right hand Bat
